	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
A1BG	16.0199	21.3668	27.7783	23.0467	27.6393	27.8714
A1CF	0.013441100000000001	0.00760168	0.0	0.0	0.00796577	0.0
A2M	80.5215	71.3338	75.8471	80.0792	77.5689	77.939
A2ML1	0.0388008	0.043933	0.020363299999999997	0.0319246	0.062238199999999994	0.0
A2MP1	0.0	0.0	0.0	0.0309878	0.0	0.196262
A3GALT2	0.0	0.0	0.0	0.0791056	0.0	0.0
A4GALT	0.0	0.0664438	0.226437	0.0582692	0.0	0.109872
A4GNT	0.0400519	0.0	0.041854199999999994	0.0	0.0473306	0.0
AAAS	31.4554	28.881	28.6726	31.0162	32.744	30.8301
AACS	4.31047	3.7418099999999996	4.40204	4.129580000000001	4.0434	4.122380000000001
AACSP1	0.0	0.131683	0.0	0.0468468	0.0	0.0239072
AADAC	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0167888	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0
AADACP1	0.0	0.0	0.0	0.0	0.0	0.138931
AADAT	8.92955	8.23049	9.03765	8.68977	6.743239999999999	7.18928
AAED1	6.378769999999999	6.06013	6.6439699999999995	6.6234399999999996	7.25957	6.35689
AAGAB	17.6768	19.6314	15.6381	15.3104	15.7545	18.7147
AAK1	6.8213	6.43863	7.54775	5.59175	6.45949	6.629389999999999
AAMDC	14.7581	15.027000000000001	14.6656	18.118	17.9611	15.0024
AAMP	73.7789	72.7599	72.1842	75.3659	78.7858	74.9683
AANAT	0.114122	0.32845	0.07648780000000001	0.0	0.129769	0.165613
AAR2	24.3133	22.0503	26.5567	22.2495	20.8416	22.9072
AARD	0.34538800000000003	0.30277600000000005	0.402737	0.279625	0.48469700000000004	0.304215
AARS	97.6193	89.4541	90.7112	93.2544	94.1651	91.9819
AARS2	19.942	18.9696	19.6209	20.9004	19.455	19.4206
AARSD1	24.7859	24.4887	25.2828	27.5652	27.8104	29.138
AARSP1	0.0	0.0	0.0	0.0	0.0	0.0
AASDH	2.30875	2.10543	3.35639	2.13543	2.54755	2.25654
AASDHPPT	15.107000000000001	15.4974	14.9901	13.0382	13.4242	14.2124
AASS	13.302	11.5665	13.1484	14.0433	11.3468	12.5573
AATF	41.1344	41.23	39.7961	35.7759	39.1702	38.2988
AATK	1.13652	1.6553400000000003	1.53005	1.3677	1.11084	1.0335
AATK-AS1	0.0	0.0	0.0	0.0	0.0	0.0
ABAT	0.26303499999999996	0.307717	0.235618	0.111983	0.141034	0.228658
ABBA01000935.1	0.0	0.0631805	0.0	0.0	0.0	0.0
ABBA01000935.2	0.0	0.0631805	0.0	0.0	0.0	0.0
ABBA01006766.1	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01006766.2	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01031660.1	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01031661.1	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01031663.1	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01031674.1	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01040607.1	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	0.0117677	0.00665484	0.00615584	0.00585317	0.00697458	0.00597185
ABCA10	0.0353476	0.0356231	0.0	0.0188433	0.0362019	0.23100199999999999
ABCA11P	0.25954699999999997	0.301181	0.0611927	0.21499200000000002	0.237625	0.219737
ABCA12	0.07145130000000001	0.0202084	0.0498912	0.026650999999999998	0.05292090000000001	0.06345049999999999
ABCA13	0.00861797	0.0169982	0.0160009	0.0451765	0.016922299999999998	0.0
ABCA17P	16.9544	17.500999999999998	16.1335	15.8737	15.8856	16.4599
ABCA2	7.1957	6.33153	7.214580000000001	6.9462	6.647689999999999	6.7982
ABCA3	0.20876399999999998	0.36848400000000003	0.378202	0.285561	0.230823	0.14338199999999998
ABCA4	0.0	0.0	0.708287	0.0	0.0	0.0
ABCA5	0.498091	0.9517479999999999	1.55579	0.656217	0.43312399999999995	0.6716810000000001
ABCA6	0.045594699999999995	0.04328	0.0159233	0.32319699999999996	0.045061500000000004	0.0385726
